Kanton;Kürzel;Kantonsnummer;Standesstimme;Beitritt;Hauptort;Einwohner;Ausländer;Fläche;Einwohnerdichte;Amtssprache;Gemeinden
Solothurn;SO;11;1.0;1481;Solothurn;259283;20.0;791.0;328.0;deutsch;Hauenstein-Ifenthal, Gempen, Fulenbach, Horriwil, Kestenholz, Solothurn, Härkingen, Däniken, Langendorf, Gretzenbach, Lüterswil-Gächliwil, Bettlach, Hüniken, Dulliken, Halten, Oberbuchsiten, Obergerlafingen, Rohr (SO), Lüsslingen-Nennigkofen, Wisen (SO), Rüttenen, Etziken, Bolken, Luterbach, Kriegstetten, Niederbuchsiten, Kleinlützel, Dornach, Laupersdorf, Zuchwil, Wolfwil, Lostorf, Oensingen, Witterswil, Aeschi (SO), Flumenthal, Messen, Buchegg, Günsberg, Gunzgen, Subingen, Aedermannsdorf, Biberist, Oekingen, Feldbrunnen-St. Niklaus, Hofstetten-Flüh, Metzerlen-Mariastein, Olten, Drei Höfe, Selzach, Balsthal, Riedholz, Büren (SO), Herbetswil, Rickenbach (SO), Gänsbrunnen, Schönenwerd, Hubersdorf, Erschwil, Walterswil (SO), Welschenrohr, Trimbach, Rodersdorf, Beinwil (SO), Egerkingen, Seewen, Nunningen, Zullwil, Biezwil, Kammersrohr, Bärschwil, Balm bei Günsberg, Breitenbach, Hochwald, Unterramsern, Gerlafingen, Deitingen, Lüterkofen-Ichertswil, Erlinsbach (SO), Kappel (SO), Obergösgen, Derendingen, Meltingen, Himmelried, Lommiswil, Mümliswil-Ramiswil, Grindel, Schnottwil, Nuglar-St. Pantaleon, Oberdorf (SO), Winznau, Starrkirch-Wil, Stüsslingen, Niedergösgen, Fehren, Büsserach, Bättwil, Hägendorf, Holderbank (SO), Lohn-Ammannsegg, Wangen bei Olten, Kienberg, Grenchen, Boningen, Recherswil, Matzendorf, Neuendorf, Eppenberg-Wöschnau, Bellach
Basel-Stadt;BS;12;0.5;1501;Basel;194661;34.4;37.0;5261.0;deutsch;Basel, Bettingen, Riehen
Basel-Landschaft;BL;13;0.5;1501;Liestal;276537;20.1;518.0;534.0;deutsch;Aesch (BL), Schönenbuch, Füllinsdorf, Lausen, Dittingen, Häfelfingen, Thürnen, Langenbruck, Birsfelden, Rothenfluh, Bubendorf, Hemmiken, Gelterkinden, Ramlinsburg, Münchenstein, Zwingen, Arboldswil, Lauwil, Lampenberg, Kilchberg (BL), Pratteln, Anwil, Burg im Leimental, Waldenburg, Bretzwil, Grellingen, Roggenburg, Maisprach, Arisdorf, Buckten, Ormalingen, Zunzgen, Wittinsburg, Buus, Frenkendorf, Duggingen, Bottmingen, Brislach, Itingen, Zeglingen, Liestal, Diepflingen, Läufelfingen, Hölstein, Reigoldswil, Arlesheim, Tenniken, Rümlingen, Sissach, Augst, Allschwil, Reinach (BL), Niederdorf, Nusshof, Wintersingen, Hersberg, Rickenbach (BL), Lupsingen, Ziefen, Muttenz, Binningen, Oberwil (BL), Röschenz, Giebenach, Seltisberg, Böckten, Nenzlingen, Oberdorf (BL), Liedertswil, Biel-Benken, Therwil, Diegten, Ettingen, Liesberg, Oltingen, Bennwil, Blauen, Titterten, Wahlen, Wenslingen, Tecknau, Rünenberg, Pfeffingen, Laufen, Känerkinden, Eptingen
Schaffhausen;SH;14;1.0;1501;Schaffhausen;77955;24.4;298.0;262.0;deutsch;Thayngen, Lohn (SH), Trasadingen, Hemishofen, Neunkirch, Neuhausen am Rheinfall, Beringen, Buchberg, Stein am Rhein, Hallau, Oberhallau, Schaffhausen, Schleitheim, Bargen (SH), Stetten (SH), Dörflingen, Buch (SH), Wilchingen, Rüdlingen, Ramsen, Gächlingen, Büttenhardt, Löhningen, Beggingen, Siblingen, Merishausen
Appenzell Ausserrhoden;AR;15;0.5;1513;Herisau, Trogen;53438;14.6;243.0;220.0;deutsch;Waldstatt, Heiden, Stein (AR), Wald (AR), Lutzenberg, Trogen, Hundwil, Teufen (AR), Walzenhausen, Reute (AR), Grub (AR), Rehetobel, Gais, Schönengrund, Wolfhalden, Schwellbrunn, Speicher, Bühler, Herisau, Urnäsch
Appenzell Innerrhoden;AI;16;0.5;1513;Appenzell;15789;9.9;173.0;91.0;deutsch;Oberegg, Rüte, Schwende, Gonten, Appenzell, Schlatt-Haslen
St. Gallen;SG;17;1.0;1803;St. Gallen;487060;22.6;2026.0;240.0;deutsch;Hemberg, Andwil (SG), Gommiswald, Mörschwil, Oberbüren, Altstätten, Gossau (SG), Schmerikon, Kirchberg (SG), Au (SG), Niederbüren, Oberriet (SG), Eichberg, Quarten, Eggersriet, Wildhaus-Alt St. Johann, Niederhelfenschwil, Berg (SG), Eschenbach (SG), Widnau, Uznach, Rapperswil-Jona, Vilters-Wangs, Balgach, Lichtensteig, Rüthi (SG), Tübach, Degersheim, Rebstein, Grabs, Untereggen, Sevelen, Flums, Wartau, Oberuzwil, Rorschach, Thal, Benken (SG), Muolen, Gams, Wittenbach, Amden, Wattwil, Lütisburg, Berneck, Sennwald, Marbach (SG), Weesen, Zuzwil (SG), Walenstadt, Diepoldsau, Bad Ragaz, Buchs (SG), Flawil, Schänis, Rheineck, Neckertal, Goldach, Mels, Oberhelfenschwil, Gaiserwald, St. Gallen, Sargans, Kaltbrunn, Steinach, Wil (SG), Ebnat-Kappel, Bütschwil-Ganterschwil, Waldkirch, Mosnang, Nesslau, Häggenschwil, St. Margrethen, Pfäfers, Rorschacherberg, Jonschwil, Uzwil
Graubünden;GR;18;1.0;1803;Chur;193920;17.3;7105.0;27.0;deutsch, rätoromanisch, italienisch;Silvaplana, Mathon, Schiers, Zillis-Reischen, Trun, Pratval, Bivio, Tinizong-Rona, Urmein, Mutten, Val Müstair, Laax, Surava, Andeer, Tschiertschen-Praden, Roveredo (GR), Arosa, Trimmis, Marmorera, Obersaxen, Ferrera, Tomils, Soazza, Sent, Almens, Rothenbrunnen, Scharans, Salouf, La Punt-Chamues-ch, Madulain, Furna, Falera, Brienz/Brinzauls, Poschiavo, Lumnezia, St. Martin, Mesocco, Scuol, Jenins, St. Moritz, Haldenstein, Susch, Alvaneu, Sumvitg, Santa Maria in Calanca, Masein, Sils im Engadin/Segl, Trin, Mon, Savognin, Braggio, Paspels, Stierva, Lostallo, Verdabbio, Hinterrhein, Zizers, Lavin, Churwalden, Maladers, Andiast, Grono, Guarda, Leggia, San Vittore, Alvaschein, Splügen, Ardez, Chur, Seewis im Prättigau, Breil/Brigels, Felsberg, Saas, Sur, Sufers, Zuoz, Lantsch/Lenz, Domat/Ems, Rossa, Jenaz, Zernez, Grüsch, Luzein, Medel (Lucmagn), Rongellen, Cama, Sagogn, Maienfeld, Landquart, Bergün/Bravuogn, Davos, Rodels, Flims, Disentis/Mustér, Schluein, Brusio, Arvigo, Klosters-Serneus, Pontresina, Riom-Parsonz, Tschappina, Vals, Ftan, Fideris, Cazis, Flerden, Lohn (GR), Küblis, Rhäzüns, Tiefencastel, Buseno, Samedan, Mundaun, Valsot, Untervaz, Ilanz/Glion, Sils im Domleschg, Tarasp, Thusis, Safiental, Bonaduz, Donat, Bregaglia, Vaz/Obervaz, Conters im Prättigau, Casti-Wergenstein, Cauco, Cunter, Fürstenau, Selma, Castaneda, Nufenen, Schmitten (GR), Waltensburg/Vuorz, Bever, S-chanf, Fläsch, Filisur, Avers, Mulegns, Tamins, Celerina/Schlarigna, St. Antönien, Malans, Tujetsch, Samnaun
Aargau;AG;19;1.0;1803;Aarau;627893;23.0;1404.0;447.0;deutsch;Böttstein, Villnachern, Besenbüren, Wegenstetten, Bellikon, Sarmenstorf, Küttigen, Muri (AG), Mägenwil, Lupfig, Stein (AG), Zuzgen, Zeihen, Mumpf, Birmenstorf (AG), Othmarsingen, Rothrist, Villmergen, Herznach, Niederlenz, Erlinsbach (AG), Holziken, Spreitenbach, Thalheim (AG), Hendschiken, Niederwil (AG), Bad Zurzach, Remetschwil, Bergdietikon, Murgenthal, Ennetbaden, Turgi, Mettauertal, Holderbank (AG), Olsberg, Fislisbach, Brugg, Leibstadt, Hägglingen, Zeiningen, Oberrohrdorf, Elfingen, Bottenwil, Wittnau, Würenlingen, Egliswil, Leimbach (AG), Ammerswil, Wiliberg, Büttikon, Birr, Oeschgen, Aarburg, Hallwil, Veltheim (AG), Widen, Rheinfelden, Oberhof, Moosleerau, Baldingen, Staufen, Seon, Zofingen, Dietwil, Laufenburg, Leuggern, Berikon, Frick, Aarau, Birrhard, Brunegg, Rupperswil, Sins, Oberlunkhofen, Oberkulm, Suhr, Rietheim, Mellingen, Villigen, Kirchleerau, Beinwil am See, Seengen, Mellikon, Auenstein, Freienwil, Wislikofen, Strengelbach, Hornussen, Vordemwald, Teufenthal (AG), Kallern, Mülligen, Unterentfelden, Rudolfstetten-Friedlisberg, Dintikon, Lengnau (AG), Reinach (AG), Geltwil, Kölliken, Leutwil, Unterlunkhofen, Niederrohrdorf, Gontenschwil, Lenzburg, Zufikon, Kaiserstuhl, Uezwil, Münchwilen (AG), Remigen, Birrwil, Stetten (AG), Obersiggenthal, Bözen, Rottenschwil, Schinznach, Uerkheim, Mönthal, Zetzwil, Wallbach, Schlossrued, Klingnau, Hausen (AG), Kaisten, Full-Reuenthal, Attelwil, Muhen, Kaiseraugst, Fisibach, Gebenstorf, Gansingen, Staffelbach, Hunzenschwil, Scherz, Habsburg, Wohlen (AG), Auw, Böbikon, Oberwil-Lieli, Oberrüti, Schmiedrued, Obermumpf, Rüfenach, Schinznach-Bad, Beinwil (Freiamt), Safenwil, Dottikon, Islisberg, Baden, Oftringen, Koblenz, Burg (AG), Würenlos, Dürrenäsch, Abtwil, Windisch, Effingen, Wettingen, Tegerfelden, Hellikon, Tägerig, Künten, Rekingen (AG), Schneisingen, Eiken, Boniswil, Bözberg, Killwangen, Untersiggenthal, Eggenwil, Mühlau, Buchs (AG), Waltenschwil, Schwaderloch, Schafisheim, Bremgarten (AG), Schöftland, Merenschwand, Bettwil, Möriken-Wildegg, Möhlin, Döttingen, Fahrwangen, Sisseln, Mandach, Hirschthal, Gipf-Oberfrick, Oberentfelden, Ueken, Boswil, Endingen, Densbüren, Magden, Jonen, Arni (AG), Menziken, Reitnau, Wohlenschwil, Aristau, Ehrendingen, Riniken, Siglistorf, Biberstein, Fischbach-Göslikon, Buttwil, Brittnau, Gränichen, Schupfart, Wölflinswil, Meisterschwanden, Rümikon, Bünzen, Unterkulm, Neuenhof
Thurgau;TG;20;1.0;1803;Frauenfeld;256213;23.1;991.0;259.0;deutsch;Eschenz, Bischofszell, Wäldi, Birwinken, Amlikon-Bissegg, Hohentannen, Pfyn, Berg (TG), Sulgen, Schlatt (TG), Hauptwil-Gottshaus, Tobel-Tägerschen, Rickenbach (TG), Amriswil, Bichelsee-Balterswil, Wängi, Salenstein, Langrickenbach, Matzingen, Felben-Wellhausen, Homburg, Berlingen, Romanshorn, Güttingen, Kemmental, Diessenhofen, Raperswilen, Wigoltingen, Weinfelden, Lommis, Fischingen, Frauenfeld, Uesslingen-Buch, Müllheim, Märstetten, Roggwil (TG), Münchwilen (TG), Bettwiesen, Braunau, Aadorf, Gachnang, Wilen (TG), Erlen, Warth-Weiningen, Dozwil, Uttwil, Basadingen-Schlattingen, Kradolf-Schönenberg, Münsterlingen, Zihlschlacht-Sitterdorf, Gottlieben, Kreuzlingen, Wuppenau, Affeltrangen, Thundorf, Herdern, Hefenhofen, Sommeri, Stettfurt, Salmsach, Steckborn, Lengwil, Bürglen (TG), Altnau, Schönholzerswilen, Hüttwilen, Ermatingen, Tägerwilen, Arbon, Horn, Bussnang, Egnach, Hüttlingen, Kesswil, Neunforn, Bottighofen, Wagenhausen, Mammern, Sirnach, Eschlikon
